s3BucketName,date,spaceUsed
all,2026-02-24,23624940790
aws-sam-cli-managed-default-samclisourcebucket-4y22qhnbm8zx,2026-02-25,19983504
capgemini-s3,2026-02-25,2183813
cdk-hnb659fds-assets-185822987739-eu-central-1,2026-02-25,36278837
cdk-hnb659fds-assets-185822987739-us-east-1,2026-02-25,86076714
coolify-raspi5-02,2026-02-25,0
coolify-scraper-backup,2026-02-25,6505591
docker-volume-backup-coolify-6,2026-02-25,4397362044
docker-volume-backup-open-webui-raspi2,2026-02-25,3404287628
docker-volume-backup-owncloud-raspi2,2026-02-25,1113787867
docker-volume-backup-paperless-raspi2,2026-02-25,46141018
nextcloud.xtra.tools,2026-02-25,0
prod-nextjs-13-plain-site-sites3bucket2b2851f3-8ys8onxlbw8e,2026-02-25,1100999
prod-nextjs-aws-sst-starter-sites3bucket2b2851f3-io3hik7bjwar,2026-02-25,1002551
schminkel-chatbot-files,2026-02-25,30904152
schminkel-comfyui,2026-02-25,23213253
schminkel-coolify-116.203.89.76,2026-02-25,0
schminkel-coolify-5.75.142.123,2026-02-25,21259489
schminkel-coolify-91.99.8.91,2026-02-25,52144948
schminkel-coolify-94.130.56.167,2026-02-25,304330503
schminkel-de,2026-02-25,2124127517
schminkel-de-2026,2026-02-25,12151665
schminkel-de-backups,2026-02-25,4669335505
schminkel-digital,2026-02-25,19412748
schminkel-dynamodb-exports,2026-02-25,5116
schminkel-email,2026-02-25,504263
schminkel-email-plaintext,2026-02-25,29155
schminkel-email-thorsten-schminkel-digital,2026-02-25,654017
schminkel-ente,2026-02-25,2995293104
schminkel-favicon-bucket,2026-02-25,294839
schminkel-lambda-layer,2026-02-25,25113007
schminkel-large-files-569d920a-b271-4e2c-8302-84c28b6c08a7,2026-02-25,1208758227
schminkel-payload-3.0,2026-02-25,62745372
schminkel-payload-demo-3.0,2026-02-25,0
schminkel-payload-digital,2026-02-25,42663578
schminkel-payload-financials,2026-02-25,2764837
schminkel-payload-financials-dev,2026-02-25,2758654
schminkel-payload-financials-local,2026-02-25,2778017
schminkel-payload-lightgallery,2026-02-25,405906771
schminkel-payload-lightgallery-dev,2026-02-25,482610112
schminkel-photo-gallery,2026-02-25,119778256
schminkel-photo-net,2026-02-25,80255909
schminkel-photos,2026-02-25,1766315955
schminkel-public,2026-02-25,2005363
schminkel-test-lambda-bucket,2026-02-25,43293554
schminkel-transcribe-audio-input-bucket,2026-02-25,15690254
schminkel-transcribe-audio-output-bucket,2026-02-25,178578
schminkel-transcription,2026-02-25,4981693
tschminkel-my-nextjs-sst-app-sites3bucket2b2851f3-fpkhlm3c1jp5,2026-02-25,1023336
all,2026-02-25,23637992313
aws-sam-cli-managed-default-samclisourcebucket-4y22qhnbm8zx,2026-02-26,19983504
capgemini-s3,2026-02-26,2183813
cdk-hnb659fds-assets-185822987739-eu-central-1,2026-02-26,36278837
cdk-hnb659fds-assets-185822987739-us-east-1,2026-02-26,86076714
coolify-raspi5-02,2026-02-26,0
coolify-scraper-backup,2026-02-26,6505591
docker-volume-backup-coolify-6,2026-02-26,4408111149
docker-volume-backup-open-webui-raspi2,2026-02-26,3404287630
docker-volume-backup-owncloud-raspi2,2026-02-26,1113787864
docker-volume-backup-paperless-raspi2,2026-02-26,60517904
nextcloud.xtra.tools,2026-02-26,0
prod-nextjs-13-plain-site-sites3bucket2b2851f3-8ys8onxlbw8e,2026-02-26,1100999
prod-nextjs-aws-sst-starter-sites3bucket2b2851f3-io3hik7bjwar,2026-02-26,1002551
schminkel-chatbot-files,2026-02-26,30904152
schminkel-comfyui,2026-02-26,23213253
schminkel-coolify-116.203.89.76,2026-02-26,0
schminkel-coolify-5.75.142.123,2026-02-26,21259489
